key,zh
account.access.accepted,Invitation accepted
account.access.active,Active organization
account.access.consentDescription,Applications that can access information from your account.
account.access.consentEmpty,No applications have access to this account.
account.access.consentRevokeConfirm,Revoke access for {clientId}?
account.access.consentRevoked,Application access was revoked.
account.access.created,Granted {date}
account.access.declined,Invitation declined
account.access.email,Email
account.access.error,This account information could not be loaded.
account.access.expired,This invitation has expired.
account.access.invitationDeclineConfirm,要拒绝此邀请吗？
account.access.invitationDescription,Review the organization and roles before you respond.
account.access.invitationEmpty,There are no pending invitations for this account.
account.access.invitationFor,Invitation for {email}
account.access.invitationMissing,Open the complete invitation link to continue.
account.access.invitationReplay,This invitation was already used or is no longer available.
account.access.membership,Membership roles
account.access.organizationDescription,Choose which organization you are working in.
account.access.organizationEmpty,This account does not belong to an organization.
account.access.permission,You do not have permission to perform this action.
account.access.roles,Roles: {roles}
account.access.scopes,Permissions: {scopes}
account.access.switchOrganization,Switch organization
account.access.switched,Organization context changed to {organization}.
account.delete.confirmLabel,Enter {email} to confirm
account.delete.dangerZone,Danger zone
account.delete.deletedDetail,Your account and access have been permanently removed.
account.delete.deletedTitle,Account deleted
account.delete.emailMismatch,The email address does not match.
account.delete.submit,Delete account permanently
account.delete.title,Permanently delete this account
account.delete.warning,This action cannot be undone. Your sessions and access will stop working.
account.directory.title,Your account
account.factors.addTotp,Add authenticator
account.factors.codeCount,{count} recovery codes
account.factors.confirm,Confirm
account.factors.description,Review the authentication methods available to your account and manage your authenticator app.
account.factors.emailOtp,Email code
account.factors.finishTotp,Finish authenticator setup
account.factors.passkeyCount,{count} passkeys
account.factors.passkeys,Passkeys
account.factors.recovery,Recovery
account.factors.removeTotp,Remove authenticator
account.factors.totp,Authenticator app
account.factors.totpSecretOnce,"Add this secret to your authenticator, then enter its six-digit code. This setup secret is only shown now."
account.factors.verificationCode,Verification code
account.identities.description,External accounts linked to your Authworks identity. Unlink accounts you no longer use.
account.identities.alreadyLinked,This external account is already linked.
account.identities.confirm,Confirm link
account.identities.confirmDescription,Confirm linking your {provider} account to continue.
account.identities.confirmTitle,Confirm external account
account.identities.empty,No external identities are linked
account.identities.externalAccount,external account
account.identities.linkDescription,Connect another provider to use it as an authentication method.
account.identities.linkTitle,Link an external account
account.identities.popupBlocked,Allow pop-ups to connect an external account.
account.identities.unlink,Unlink
account.identities.unlinkConfirm,要取消关联此外部账户吗？
account.passkeys.add,Add passkey
account.passkeys.created,Created {date}
account.passkeys.description,Passkeys use your device screen lock or security key for secure sign-in.
account.passkeys.deviceBound,Device-bound passkey
account.passkeys.empty,No passkeys registered
account.passkeys.remove,Remove
account.passkeys.synced,Synced passkey
account.password.changed,Your password was changed.
account.password.confirm,Confirm new password
account.password.current,Current password
account.password.description,Use a unique password that you do not use for other services.
account.password.mismatch,The new passwords do not match.
account.password.new,New password
account.password.submit,Change password
account.password.title,Change password
account.password.tooShort,The new password must contain at least 8 characters.
account.profile.displayName,Display name
account.profile.displayNameRequired,Enter a display name.
account.profile.email,Email address
account.profile.emailAdd,Add email address
account.profile.emailAddDescription,Add another address to your account. It becomes available after you verify it.
account.profile.emailAddTitle,Add email address
account.profile.emailAddressDescription,Verified addresses can be used for sign-in and account recovery. Account communication uses the primary address.
account.profile.emailAddresses,Email addresses
account.profile.emailAddressesEmpty,No email addresses are available.
account.profile.emailAddressesSaved,Your email addresses were updated.
account.profile.emailMakePrimary,Make primary
account.profile.emailPrimary,Primary
account.profile.emailPrimaryRemoveBlocked,The primary email address cannot be removed.
account.profile.emailRefresh,Refresh addresses
account.profile.emailRemove,Remove
account.profile.emailRemoving,Removing…
account.profile.emailUpdating,Updating…
account.profile.emailDescription,Review the verified address used for sign-in and account communication.
account.profile.emailTitle,Email address and verification
account.profile.emailChange,Change email address
account.profile.emailChangeDescription,Verify a new address before it replaces the current sign-in address.
account.profile.emailChangeTitle,Change email address
account.profile.emailCodeSent,"Open the verification link sent to {email}, or paste its token below."
account.profile.emailCodeSentGeneric,"Open the verification link sent to your new address, or paste its token below."
account.profile.emailDifferent,Use a different address
account.profile.emailInvalid,Enter a valid email address.
account.profile.emailNew,New email address
account.profile.emailResend,Resend verification email
account.profile.emailSaved,Your verified email address was updated.
account.profile.emailSending,Sending verification email…
account.profile.emailToken,Verification token
account.profile.emailTokenInvalid,Enter the verification token from the email.
account.profile.emailVerify,Verify email address
account.profile.emailVerifying,Verifying…
account.profile.firstName,First name
account.profile.gender,Gender
account.profile.gender.man,Man
account.profile.gender.nonBinary,Non-binary
account.profile.gender.unspecified,Unspecified
account.profile.gender.woman,Woman
account.profile.pictureContentType,Picture content type
account.profile.pictureHint,Use an HTTPS URL for an image hosted by your application.
account.profile.pictureInvalid,Enter a valid HTTPS picture URL.
account.profile.pictureRemove,Remove picture
account.profile.pictureUrl,Picture URL
account.profile.lastName,Last name
account.profile.nickName,Nickname
account.profile.nickNameHint,Optional preferred or short name shared in the OIDC nickname claim; display name is shown in the account UI.
account.profile.personalDescription,Keep the profile shown to applications and administrators up to date.
account.profile.personalInformation,Personal information
account.profile.phoneAdd,Add phone number
account.profile.phoneChange,Change phone number
account.profile.phoneCode,Six-digit verification code
account.profile.phoneCodeInvalid,Enter the six-digit verification code.
account.profile.phoneCodeSent,Enter the code sent to {phoneNumber} on WhatsApp.
account.profile.phoneDescription,"Add or change the verified WhatsApp number you can use to sign in. Your current number stays active until the new one is verified."
account.profile.phoneDifferent,Use a different number
account.profile.phoneHint,"Use international E.164 format, for example +14155552671."
account.profile.phoneInvalid,Enter a valid phone number in E.164 format.
account.profile.phoneNew,New phone number
account.profile.phoneNotAdded,No verified phone number added
account.profile.phoneNumber,WhatsApp phone number
account.profile.phonePlaceholder,+14155552671
account.profile.phoneResend,Resend code
account.profile.phoneSaved,Your verified phone number was updated.
account.profile.phoneSending,Sending code…
account.profile.phoneTitle,WhatsApp phone number
account.profile.phoneVerify,Verify phone number
account.profile.phoneVerifying,Verifying…
account.profile.preferredLanguage,Preferred language
account.profile.save,Save changes
account.profile.saved,Your profile was saved.
account.profile.signInDescription,These details identify your account.
account.profile.signInTitle,Sign-in details
account.profile.userName,Username
account.profile.verificationPending,Verification pending
account.profile.verified,Verified
account.recovery.generate,Generate new codes
account.recovery.once,Copy or print these codes now. They cannot be displayed again.
account.recovery.remaining,{count} unused codes remain. Generating new codes invalidates the previous set.
account.recovery.saveNow,Save your recovery codes now
account.recovery.saved,I saved these codes
account.recovery.summary,Recovery access
account.security.label,Account security management
account.sessionExpired,Your session has expired
account.sessions.current,Current session
account.sessions.description,Review devices where your account is signed in and revoke any session you do not recognize.
account.sessions.empty,No active sessions
account.sessions.lastUsed,Last used {date}
account.sessions.revoke,Revoke session
account.sessions.revokeConfirm,Revoke this session immediately?
account.sessions.unknownDevice,Unknown device
account.status.available,Available
account.status.configured,Configured
account.status.notConfigured,Not configured
account.status.unavailable,Unavailable
admin.common.confirmTitle,确认此操作
admin.common.next,下一页
admin.common.pagination,分页
admin.common.permission,您没有权限查看这些管理数据。
admin.common.previous,上一页
admin.events.actor,操作者
admin.events.aggregate,聚合
admin.events.count,{count} 个事件
admin.events.description,当前领域不可变的安全活动，最新的在前。
admin.events.empty,没有事件符合当前筛选条件。
admin.events.hide,隐藏载荷
admin.events.occurred,发生时间
admin.events.payload,载荷
admin.events.redactionNotice,事件存储前会对机密值进行脱敏处理。
admin.events.search,搜索事件
admin.events.searchPlaceholder,按类型、聚合或操作者筛选
admin.events.show,显示载荷
admin.events.systemActor,系统
admin.events.title,审计事件
admin.events.type,事件类型
admin.impersonation.activeTitle,Active impersonation
admin.impersonation.actor,Administrator
admin.impersonation.assuranceRequired,Impersonating a user requires multi-factor authentication. Sign in again with a second factor to continue.
admin.impersonation.assuranceRequiredTitle,Stronger sign-in required
admin.impersonation.auditLink,View the audit events for this impersonation
admin.impersonation.bannerLabel,Impersonation in progress
admin.impersonation.bannerSummary,{actor} is acting as {subject}. This session ends in {remaining}.
admin.impersonation.description,"Act as another person for a short, recorded support session. A reason and a bounded duration are always required."
admin.impersonation.duration,Duration
admin.impersonation.durationHint,"Impersonation always ends automatically, after at most fifteen minutes."
admin.impersonation.durationInvalid,Choose a duration between one second and fifteen minutes.
admin.impersonation.durationMinutes,{count} minutes
admin.impersonation.end,End impersonation
admin.impersonation.endConfirm,End the impersonation of {subject} now?
admin.impersonation.endedNotice,The impersonation session was ended.
admin.impersonation.expires,Ends
admin.impersonation.expiringSoon,This impersonation ends in under a minute.
admin.impersonation.nestedRejected,You are already acting as another user. End the current impersonation before starting a new one.
admin.impersonation.nestedRejectedTitle,Nested impersonation is not allowed
admin.impersonation.noOrganization,No organization
admin.impersonation.organization,Organization
admin.impersonation.organizationHint,Optional. Restrict the session to the permissions the person holds in one organization.
admin.impersonation.permissionDenied,You do not have permission to impersonate users in this realm.
admin.impersonation.permissionDeniedTitle,无法访问
admin.impersonation.reason,Reason
admin.impersonation.reasonHint,Recorded in the audit trail and shown to the person you act as.
admin.impersonation.reasonRequired,Enter a reason between 3 and 256 characters.
admin.impersonation.remaining,Remaining
admin.impersonation.remainingValue,{minutes}:{seconds}
admin.impersonation.selfRejected,You cannot impersonate your own account.
admin.impersonation.start,Start impersonation
admin.impersonation.startConfirm,Start acting as {subject}? Everything you do will be recorded against your own identity.
admin.impersonation.startedAt,Started
admin.impersonation.startedNotice,You are now acting as {subject}.
admin.impersonation.subject,Acting as
admin.impersonation.target,User to impersonate
admin.impersonation.targetRequired,Choose the user you want to act as.
admin.impersonation.title,Impersonation
admin.impersonation.userAction,Impersonate this user
admin.machine.assuranceRequired,管理机器用户及其凭据需要更强、更近期的登录。请重新登录以继续。
admin.machine.assuranceRequiredTitle,需要更强的登录
admin.machine.created,创建时间
admin.machine.credentials.apiKeyCreated,API 密钥已签发。
admin.machine.credentials.description,机器用户为获取访问令牌而出示的凭据。系统仅存储其元数据，绝不存储凭据值。
admin.machine.credentials.empty,此机器用户尚无凭据。
admin.machine.credentials.expires,过期时间
