key,ar
account.access.accepted,تم قبول الدعوة
account.access.active,المنظمة النشطة
account.access.consentDescription,التطبيقات التي يمكنها الوصول إلى معلومات من حسابك.
account.access.consentEmpty,لا توجد تطبيقات لديها حق الوصول إلى هذا الحساب.
account.access.consentRevokeConfirm,هل تريد إلغاء وصول التطبيق {clientId}؟
account.access.consentRevoked,تم إلغاء وصول التطبيق.
account.access.created,مُنح في {date}
account.access.declined,تم رفض الدعوة
account.access.effectiveDescription,"Review the active organizations, projects, roles, and permissions available to this account."
account.access.effectiveDescription,"Review the active organizations, projects, roles, and permissions available to this account."
account.access.effectiveEmpty,This account has no active organization or project access.
account.access.effectiveEmpty,This account has no active organization or project access.
account.access.effectiveMembership,Membership roles: {roles}
account.access.effectiveMembership,Membership roles: {roles}
account.access.effectivePermissions,Permissions: {permissions}
account.access.effectivePermissions,Permissions: {permissions}
account.access.effectiveSource,Access source: {source}
account.access.effectiveSource,Access source: {source}
account.access.effectiveTitle,Effective access
account.access.effectiveTitle,Effective access
account.access.email,البريد الإلكتروني
account.access.error,تعذر تحميل معلومات هذا الحساب.
account.access.expired,انتهت صلاحية هذه الدعوة.
account.access.invitationDeclineConfirm,هل تريد رفض هذه الدعوة؟
account.access.invitationDescription,راجع المنظمة والأدوار قبل الرد.
account.access.invitationEmpty,لا توجد دعوات معلقة لهذا الحساب.
account.access.invitationFor,دعوة إلى {email}
account.access.invitationMissing,افتح رابط الدعوة الكامل للمتابعة.
account.access.invitationReplay,تم استخدام هذه الدعوة بالفعل أو لم تعد متاحة.
account.access.loadMore,Load more access
account.access.loadMore,Load more access
account.access.membership,أدوار العضوية
account.access.organizationAccess,Organization access
account.access.organizationAccess,Organization access
account.access.organizationDescription,اختر المنظمة التي تعمل بها.
account.access.organizationEmpty,هذا الحساب لا ينتمي إلى أي منظمة.
account.access.permission,ليس لديك إذن لتنفيذ هذا الإجراء.
account.access.roles,الأدوار: {roles}
account.access.scopes,الأذونات: {scopes}
account.access.switchOrganization,تبديل المنظمة
account.access.switched,تم تغيير سياق المنظمة إلى {organization}.
account.delete.confirmLabel,أدخل {email} للتأكيد
account.delete.dangerZone,منطقة الخطر
account.delete.deletedDetail,تمت إزالة حسابك وحق الوصول الخاص بك نهائيًا.
account.delete.deletedTitle,تم حذف الحساب
account.delete.emailMismatch,عنوان البريد الإلكتروني غير متطابق.
account.delete.submit,حذف الحساب نهائيًا
account.delete.title,حذف هذا الحساب نهائيًا
account.delete.warning,لا يمكن التراجع عن هذا الإجراء. ستتوقف جلساتك وحق الوصول الخاص بك عن العمل.
account.directory.title,حسابك
account.factors.addTotp,إضافة تطبيق مصادقة
account.factors.codeCount,{count} رموز استرداد
account.factors.confirm,تأكيد
account.factors.description,راجع طرق المصادقة المتاحة لحسابك وقم بإدارة تطبيق المصادقة الخاص بك.
account.factors.emailOtp,رمز البريد الإلكتروني
account.factors.finishTotp,إكمال إعداد تطبيق المصادقة
account.factors.passkeyCount,{count} مفاتيح مرور
account.factors.passkeys,مفاتيح المرور
account.factors.recovery,الاسترداد
account.factors.removeTotp,إزالة تطبيق المصادقة
account.factors.totp,تطبيق المصادقة
account.factors.totpSecretOnce,أضف هذا المفتاح السري إلى تطبيق المصادقة الخاص بك، ثم أدخل الرمز المكون من ستة أرقام. يتم عرض مفتاح الإعداد هذا الآن فقط.
account.factors.verificationCode,رمز التحقق
account.identities.alreadyLinked,This external account is already linked.
account.identities.confirm,Confirm link
account.identities.confirmDescription,Confirm linking your {provider} account to continue.
account.identities.confirmTitle,Confirm external account
account.identities.description,الحسابات الخارجية المرتبطة بهويتك في Authworks. قم بإلغاء ربط الحسابات التي لم تعد تستخدمها.
account.identities.empty,لا توجد هويات خارجية مرتبطة
account.identities.externalAccount,external account
account.identities.linkDescription,Connect another provider to use it as an authentication method.
account.identities.linkTitle,Link an external account
account.identities.popupBlocked,Allow pop-ups to connect an external account.
account.identities.unlink,إلغاء الربط
account.identities.unlinkConfirm,هل تريد إلغاء ربط هذا الحساب الخارجي؟
account.passkeys.add,إضافة مفتاح مرور
account.passkeys.created,تم الإنشاء في {date}
account.passkeys.description,تستخدم مفاتيح المرور قفل شاشة جهازك أو مفتاح الأمان لتسجيل الدخول الآمن.
account.passkeys.deviceBound,مفتاح مرور مرتبط بالجهاز
account.passkeys.empty,لم يتم تسجيل أي مفاتيح مرور
account.passkeys.remove,إزالة
account.passkeys.synced,مفتاح مرور متزامن
account.password.changed,تم تغيير كلمة المرور الخاصة بك.
account.password.confirm,تأكيد كلمة المرور الجديدة
account.password.current,كلمة المرور الحالية
account.password.description,استخدم كلمة مرور فريدة لا تستخدمها في خدمات أخرى.
account.password.mismatch,كلمات المرور الجديدة غير متطابقة.
account.password.new,كلمة المرور الجديدة
account.password.submit,تغيير كلمة المرور
account.password.title,تغيير كلمة المرور
account.password.tooShort,يجب أن تحتوي كلمة المرور الجديدة على 8 أحرف على الأقل.
account.profile.displayName,الاسم المعروض
account.profile.displayNameRequired,أدخل اسمًا معروضًا.
account.profile.email,عنوان البريد الإلكتروني
account.profile.emailAdd,Add email address
account.profile.emailAddDescription,Add another address to your account. It becomes available after you verify it.
account.profile.emailAddTitle,Add email address
account.profile.emailAddressDescription,Verified addresses can be used for sign-in and account recovery. Account communication uses the primary address.
account.profile.emailAddresses,Email addresses
account.profile.emailAddressesEmpty,No email addresses are available.
account.profile.emailAddressesSaved,Your email addresses were updated.
account.profile.emailChange,Change email address
account.profile.emailChangeDescription,Verify a new address before it replaces the current sign-in address.
account.profile.emailChangeTitle,Change email address
account.profile.emailCodeSent,"Open the verification link sent to {email}, or paste its token below."
account.profile.emailCodeSentGeneric,"Open the verification link sent to your new address, or paste its token below."
account.profile.emailDescription,راجع العنوان المؤكد المستخدم لتسجيل الدخول والتواصل بشأن الحساب.
account.profile.emailDifferent,Use a different address
account.profile.emailInvalid,Enter a valid email address.
account.profile.emailMakePrimary,Make primary
account.profile.emailNew,New email address
account.profile.emailPrimary,Primary
account.profile.emailPrimaryRemoveBlocked,The primary email address cannot be removed.
account.profile.emailRefresh,Refresh addresses
account.profile.emailRemove,Remove
account.profile.emailRemoving,Removing…
account.profile.emailResend,Resend verification email
account.profile.emailSaved,Your verified email address was updated.
account.profile.emailSending,Sending verification email…
account.profile.emailTitle,عنوان البريد الإلكتروني والتحقق
account.profile.emailToken,Verification token
account.profile.emailTokenInvalid,Enter the verification token from the email.
account.profile.emailUpdating,Updating…
account.profile.emailVerify,Verify email address
account.profile.emailVerifying,Verifying…
account.profile.firstName,الاسم الأول
account.profile.gender,Gender
account.profile.gender.man,Man
account.profile.gender.nonBinary,Non-binary
account.profile.gender.unspecified,Unspecified
account.profile.gender.woman,Woman
account.profile.lastName,اسم العائلة
account.profile.nickName,الاسم المستعار
account.profile.nickNameHint,Optional preferred or short name shared in the OIDC nickname claim; display name is shown in the account UI.
account.profile.personalDescription,حافظ على تحديث الملف الشخصي المعروض للتطبيقات والمسؤولين.
account.profile.personalInformation,المعلومات الشخصية
account.profile.phoneAdd,Add phone number
account.profile.phoneChange,Change phone number
account.profile.phoneCode,Six-digit verification code
account.profile.phoneCodeInvalid,Enter the six-digit verification code.
account.profile.phoneCodeSent,Enter the code sent to {phoneNumber} on WhatsApp.
account.profile.phoneDescription,"Add or change the verified WhatsApp number you can use to sign in. Your current number stays active until the new one is verified."
account.profile.phoneDifferent,Use a different number
account.profile.phoneHint,"Use international E.164 format, for example +14155552671."
account.profile.phoneInvalid,Enter a valid phone number in E.164 format.
account.profile.phoneNew,New phone number
account.profile.phoneNotAdded,No verified phone number added
account.profile.phoneNumber,WhatsApp phone number
account.profile.phonePlaceholder,+14155552671
account.profile.phoneResend,Resend code
account.profile.phoneSaved,Your verified phone number was updated.
account.profile.phoneSending,Sending code…
account.profile.phoneTitle,WhatsApp phone number
account.profile.phoneVerify,Verify phone number
account.profile.phoneVerifying,Verifying…
account.profile.picture,Profile picture
account.profile.pictureAlt,Current profile picture
account.profile.pictureChoose,Choose a picture file
account.profile.pictureHint,"Upload a JPEG, PNG, WebP, or GIF image of at most 512 KiB."
account.profile.pictureRemove,Remove picture
account.profile.pictureSaved,Profile picture updated.
account.profile.pictureTooLarge,Choose an image of at most 512 KiB.
account.profile.pictureTypeInvalid,"Choose a JPEG, PNG, WebP, or GIF image."
account.profile.pictureUploading,Uploading the picture…
account.profile.preferredLanguage,اللغة المفضلة
account.profile.save,حفظ التغييرات
account.profile.saved,تم حفظ ملفك الشخصي.
account.profile.signInDescription,تحدد هذه التفاصيل حسابك.
account.profile.signInTitle,تفاصيل تسجيل الدخول
account.profile.userName,اسم المستخدم
account.profile.verificationPending,التحقق معلق
account.profile.verified,تم التحقق
