key,de
account.access.accepted,Einladung angenommen
account.access.active,Aktive Organisation
account.access.consentDescription,Anwendungen mit Zugriff auf Informationen aus Ihrem Konto.
account.access.consentEmpty,Keine Anwendung hat Zugriff auf dieses Konto.
account.access.consentRevokeConfirm,Zugriff für {clientId} widerrufen?
account.access.consentRevoked,Der Anwendungszugriff wurde widerrufen.
account.access.created,Erteilt am {date}
account.access.declined,Einladung abgelehnt
account.access.effectiveDescription,"Review the active organizations, projects, roles, and permissions available to this account."
account.access.effectiveDescription,"Review the active organizations, projects, roles, and permissions available to this account."
account.access.effectiveEmpty,This account has no active organization or project access.
account.access.effectiveEmpty,This account has no active organization or project access.
account.access.effectiveMembership,Membership roles: {roles}
account.access.effectiveMembership,Membership roles: {roles}
account.access.effectivePermissions,Permissions: {permissions}
account.access.effectivePermissions,Permissions: {permissions}
account.access.effectiveSource,Access source: {source}
account.access.effectiveSource,Access source: {source}
account.access.effectiveTitle,Effective access
account.access.effectiveTitle,Effective access
account.access.email,E-Mail
account.access.error,Die Kontoinformationen konnten nicht geladen werden.
account.access.expired,Diese Einladung ist abgelaufen.
account.access.invitationDeclineConfirm,Diese Einladung ablehnen?
account.access.invitationDescription,Prüfen Sie Organisation und Rollen vor Ihrer Antwort.
account.access.invitationEmpty,Für dieses Konto liegen keine Einladungen vor.
account.access.invitationFor,Einladung für {email}
account.access.invitationMissing,Öffnen Sie den vollständigen Einladungslink.
account.access.invitationOpen,Einladung öffnen
account.access.invitationReplay,Diese Einladung wurde bereits verwendet oder ist nicht mehr verfügbar.
account.access.loadMore,Load more access
account.access.loadMore,Load more access
account.access.membership,Mitgliedsrollen
account.access.organizationAccess,Organization access
account.access.organizationAccess,Organization access
account.access.organizationDescription,Wählen Sie die Organisation aus in der Sie arbeiten.
account.access.organizationEmpty,Dieses Konto gehört keiner Organisation an.
account.access.permission,Sie haben keine Berechtigung für diese Aktion.
account.access.permissionsToggle,{count} von {source} gewährte Berechtigungen anzeigen
account.access.roles,Rollen: {roles}
account.access.scopes,Berechtigungen: {scopes}
account.access.switchOrganization,Organisation wechseln
account.access.switched,Organisationskontext zu {organization} geändert.
account.delete.confirmLabel,Geben Sie zur Bestätigung {email} ein
account.delete.dangerZone,Gefahrenbereich
account.delete.dangerZoneToggle,Optionen zur Kontolöschung anzeigen
account.delete.deletedDetail,Ihr Konto und Ihre Zugriffe wurden dauerhaft entfernt.
account.delete.deletedTitle,Konto gelöscht
account.delete.emailMismatch,Die E-Mail-Adresse stimmt nicht überein.
account.delete.submit,Konto dauerhaft löschen
account.delete.title,Dieses Konto dauerhaft löschen
account.delete.warning,Diese Aktion kann nicht rückgängig gemacht werden. Ihre Sitzungen und Zugriffe werden beendet.
account.directory.title,Ihr Konto
account.factors.addTotp,Authenticator hinzufügen
account.factors.codeCount,{count} Wiederherstellungscodes
account.factors.confirm,Bestätigen
account.factors.description,Prüfen Sie die für Ihr Konto verfügbaren Authentifizierungsmethoden und verwalten Sie Ihre Authenticator-App.
account.factors.emailOtp,E-Mail-Code
account.factors.finishTotp,Authenticator-Einrichtung abschließen
account.factors.passkeyCount,{count} Passkeys
account.factors.passkeys,Passkeys
account.factors.recovery,Wiederherstellung
account.factors.removeTotp,Authenticator entfernen
account.factors.totp,Authenticator-App
account.factors.totpSecretOnce,Fügen Sie dieses Geheimnis Ihrem Authenticator hinzu und geben Sie den sechsstelligen Code ein. Dieses Einrichtungsgeheimnis wird nur jetzt angezeigt.
account.factors.verificationCode,Bestätigungscode
account.identities.alreadyLinked,This external account is already linked.
account.identities.confirm,Confirm link
account.identities.confirmDescription,Confirm linking your {provider} account to continue.
account.identities.confirmTitle,Confirm external account
account.identities.description,"Externe Konten, die mit Ihrer Authworks-Identität verknüpft sind. Trennen Sie Konten, die Sie nicht mehr nutzen."
account.identities.empty,Es sind keine externen Identitäten verknüpft
account.identities.externalAccount,external account
account.identities.linkDescription,Connect another provider to use it as an authentication method.
account.identities.linkTitle,Link an external account
account.identities.popupBlocked,Allow pop-ups to connect an external account.
account.identities.unlink,Trennen
account.identities.unlinkConfirm,Dieses externe Konto trennen?
account.passkeys.add,Passkey hinzufügen
account.passkeys.created,Erstellt am {date}
account.passkeys.description,Passkeys nutzen die Bildschirmsperre Ihres Geräts oder einen Sicherheitsschlüssel für die sichere Anmeldung.
account.passkeys.deviceBound,Gerätegebundener Passkey
account.passkeys.empty,Keine Passkeys registriert
account.passkeys.remove,Entfernen
account.passkeys.synced,Synchronisierter Passkey
account.password.changed,Ihr Passwort wurde geändert.
account.password.confirm,Neues Passwort bestätigen
account.password.current,Aktuelles Passwort
account.password.description,"Verwenden Sie ein eindeutiges Passwort, das Sie für keinen anderen Dienst nutzen."
account.password.mismatch,Die neuen Passwörter stimmen nicht überein.
account.password.new,Neues Passwort
account.password.submit,Passwort ändern
account.password.title,Passwort ändern
account.password.tooShort,Das neue Passwort muss mindestens 8 Zeichen enthalten.
account.profile.displayName,Anzeigename
account.profile.displayNameRequired,Geben Sie einen Anzeigenamen ein.
account.profile.email,E-Mail-Adresse
account.profile.emailAdd,Add email address
account.profile.emailAddDescription,Add another address to your account. It becomes available after you verify it.
account.profile.emailAddTitle,Add email address
account.profile.emailAddressDescription,Verified addresses can be used for sign-in and account recovery. Account communication uses the primary address.
account.profile.emailAddresses,Email addresses
account.profile.emailAddressesEmpty,No email addresses are available.
account.profile.emailAddressesSaved,Your email addresses were updated.
account.profile.emailChange,Change email address
account.profile.emailChangeDescription,Verify a new address before it replaces the current sign-in address.
account.profile.emailChangeTitle,Change email address
account.profile.emailCodeSent,"Open the verification link sent to {email}, or paste its token below."
account.profile.emailCodeSentGeneric,"Open the verification link sent to your new address, or paste its token below."
account.profile.emailDescription,Prüfen Sie die verifizierte Adresse für Anmeldung und Kontokommunikation.
account.profile.emailDifferent,Use a different address
account.profile.emailInvalid,Enter a valid email address.
account.profile.emailMakePrimary,Make primary
account.profile.emailNew,New email address
account.profile.emailPrimary,Primary
account.profile.emailPrimaryRemoveBlocked,The primary email address cannot be removed.
account.profile.emailRefresh,Refresh addresses
account.profile.emailRemove,Remove
account.profile.emailRemoving,Removing…
account.profile.emailResend,Resend verification email
account.profile.emailSaved,Your verified email address was updated.
account.profile.emailSending,Sending verification email…
account.profile.emailTitle,E-Mail-Adresse und Verifizierung
account.profile.emailToken,Verification token
account.profile.emailTokenInvalid,Enter the verification token from the email.
account.profile.emailUpdating,Updating…
account.profile.emailVerify,Verify email address
account.profile.emailVerifying,Verifying…
account.profile.firstName,Vorname
account.profile.gender,Gender
account.profile.gender.man,Man
account.profile.gender.nonBinary,Non-binary
account.profile.gender.unspecified,Unspecified
account.profile.gender.woman,Woman
account.profile.lastName,Nachname
account.profile.nickName,Spitzname
account.profile.nickNameHint,Optional preferred or short name shared in the OIDC nickname claim; display name is shown in the account UI.
account.profile.personalDescription,"Halten Sie das Profil aktuell, das Anwendungen und Administratoren angezeigt wird."
account.profile.personalInformation,Persönliche Angaben
account.profile.phoneAdd,Add phone number
account.profile.phoneChange,Change phone number
account.profile.phoneCode,Six-digit verification code
account.profile.phoneCodeInvalid,Enter the six-digit verification code.
account.profile.phoneCodeSent,Enter the code sent to {phoneNumber} on WhatsApp.
account.profile.phoneDescription,"Add or change the verified WhatsApp number you can use to sign in. Your current number stays active until the new one is verified."
account.profile.phoneDifferent,Use a different number
account.profile.phoneHint,"Use international E.164 format, for example +14155552671."
account.profile.phoneInvalid,Enter a valid phone number in E.164 format.
account.profile.phoneNew,New phone number
account.profile.phoneNotAdded,No verified phone number added
account.profile.phoneNumber,WhatsApp phone number
account.profile.phonePlaceholder,+14155552671
account.profile.phoneResend,Resend code
account.profile.phoneSaved,Your verified phone number was updated.
account.profile.phoneSending,Sending code…
account.profile.phoneTitle,WhatsApp phone number
account.profile.phoneVerify,Verify phone number
account.profile.phoneVerifying,Verifying…
account.profile.picture,Profile picture
account.profile.pictureAlt,Current profile picture
account.profile.pictureChange,Profilbild ändern
account.profile.pictureChoose,Choose a picture file
account.profile.pictureDropHint,Bild hierher ziehen oder zum Auswählen klicken
account.profile.pictureHint,"Upload a JPEG, PNG, WebP, or GIF image of at most 512 KiB."
account.profile.pictureRemove,Remove picture
account.profile.pictureRemoving,Profilbild wird entfernt…
account.profile.pictureSaved,Profile picture updated.
account.profile.pictureTooLarge,Choose an image of at most 512 KiB.
account.profile.pictureTypeInvalid,"Choose a JPEG, PNG, WebP, or GIF image."
account.profile.pictureUnavailable,Profilbild konnte nicht geladen werden
account.profile.pictureUploading,Uploading the picture…
account.profile.preferredLanguage,Bevorzugte Sprache
account.profile.preferredLanguage.unspecified,Nicht festgelegt
account.profile.save,Änderungen speichern
account.profile.saved,Ihr Profil wurde gespeichert.
account.profile.signInDescription,Diese Angaben identifizieren Ihr Konto.
